"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile","note"
"chart_template_liquidity_transfer","Liquidity Transfer","101000","account.data_account_type_liquidity","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_bank_and_cash","True",""
"trade_receivables","Trade Receivables","102100","account.data_account_type_receivable","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_receivables_and_prepayments","True",""
"related_parties_receivables","Receivables from Related Parties","102200","account.data_account_type_receivable","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_receivables_and_prepayments","True",""
"mta_prepayment","Tax and Customs Board Prepayment Account","102300","account.data_account_type_prepayments","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_receivables_and_prepayments","False","Estonian Tax and Customs Board (MTA) prepayment account"
"vendor_prepayments","Prepayments to Vendors","102400","account.data_account_type_prepayments","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_receivables_and_prepayments","False",""
"inventory","Inventory","103000","account.data_account_type_current_assets","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_inventories","False",""
"subsidiary_shares","Shares of Subsidiaries","201100","account.data_account_type_non_current_assets","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_shares","False",""
"investment_properties","Investment Properties","204000","account.data_account_type_fixed_assets","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_investment_properties","False",""
"investment_properties_depreciation","Depreciation of Investment Properties","204001","account.data_account_type_fixed_assets","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_investment_properties","False",""
"tangible_assets","Tangible Assets","205000","account.data_account_type_fixed_assets","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_tangible_assets","False",""
"tangible_assets_depreciation","Depreciation of Tangible Assets","205001","account.data_account_type_fixed_assets","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_tangible_assets","False",""
"intangible_fixed_assets","Intangible Fixed Assets","206000","account.data_account_type_fixed_assets","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_intangible_assets","False",""
"intangible_fixed_assets_depreciation","Depreciation of Intangible Fixed Assets","206001","account.data_account_type_fixed_assets","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_intangible_assets","False",""
"trade_payables","Trade Payables","301100","account.data_account_type_payable","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_payables_and_prepayments","True",""
"related_parties_payables","Payables to Related Parties","301200","account.data_account_type_payable","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_payables_and_prepayments","True",""
"vat_receivable","Input VAT Receivable","301310","account.data_account_type_current_liabilities","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_payables_and_prepayments","False",""
"vat_payable","Output VAT Payable","301320","account.data_account_type_current_liabilities","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_payables_and_prepayments","False",""
"vat_closing","VAT Closing","301330","account.data_account_type_current_liabilities","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_payables_and_prepayments","False","VAT Closing according to the report"
"social_security_accrued","Social Security Accrued","301410","account.data_account_type_current_liabilities","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_payables_and_prepayments","False",""
"employee_tax_accrued","Employee Tax Accrued","301420","account.data_account_type_current_liabilities","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_payables_and_prepayments","False",""
"customer_prepayments","Prepayments from Customers","301500","account.data_account_type_current_liabilities","l10n_ee_accounting.chart_template","l10n_ee_accounting.bs_payables_and_prepayments","False",""
